descripcion,valor_usd,valor_pen,categoria,subcategoria,idioma,es_sintetico
Pago de materiales de arte en Netflix - Nequi,201.79,746.62,Entretenimiento,Lectura y pasatiempos,es,True
Cabify - taxi o aplicativo,95.21,352.28,Transporte,Taxi y aplicativo,es,True
Netflix - materiales para tejido,166.68,616.73,Entretenimiento,Lectura y pasatiempos,es,True
cena con amigos / cine local - Nequi,101.89,377.01,Entretenimiento,Eventos,es,True
Compra en empresa de servicios: internet y telefonía,25.16,93.05,Servicios,Internet y telefonía,es,True
Compra en centro médico: equipo para ejercicio,337.96,1250.48,Salud y bienestar,Equipamiento deportivo,es,True
Compra em hotel local: passagem aérea,339.3,1255.44,Viajes,Vuelo,pt,True
Pagamento de lanches em iFood,62.69,231.93,Alimentación,Supermercado,pt,True
gift card / florería local,63.64,235.47,Regalos,Tarjeta de regalo,en,True
Pago de equipo para ejercicio en farmacia local,310.36,1148.36,Salud y bienestar,Equipamiento deportivo,es,True
Compra em Spotify: jantar com amigos,97.55,360.97,Entretenimiento,Eventos,pt,True
juegos infantiles / Miniso,219.34,811.58,Regalos,Juguetes,es,True
Compra en Spotify: materiales para tejido,87.81,324.86,Entretenimiento,Lectura y pasatiempos,es,True
equipo para ejercicio / gimnasio local,336.44,1244.84,Salud y bienestar,Equipamiento deportivo,es,True
Gym Membership,30.83,114.07,Salud y bienestar,Gimnasio,en,False
Pago de comida en restaurante en Walmart,246.72,912.87,Alimentación,Restaurante,es,True
Pago de medicamentos en centro médico,444.24,1643.72,Salud y bienestar,Farmacia,es,True
Pago de entradas para concierto en Spotify,120.96,447.53,Entretenimiento,Eventos,es,True
flores / Miniso,79.08,292.57,Regalos,Flores,es,True
Compra en Udemy: materiales educativos,158.21,585.37,Educación,Materiales educativos,es,True
curso profissional / Coursera,125.73,465.19,Educación,Cursos,pt,True
Compra en comercio no identificado: compra diversa - Nequi,143.42,530.66,Otros,Otros,es,True
Compra en Miniso: juegos infantiles,259.61,960.58,Regalos,Juguetes,es,True
juegos infantiles / Miniso,262.25,970.34,Regalos,Juguetes,es,True
florería local - tarjeta de regalo,70.09,259.33,Regalos,Tarjeta de regalo,es,True
combustible / Cabify,113.23,418.94,Transporte,Combustible,es,True
compra diversa / pago diverso,300.78,1112.91,Otros,Otros,es,True
Pago de suscripción a revista en Spotify,34.12,126.24,Entretenimiento,Revistas,es,True
farmacia local - consulta dental,188.25,696.53,Salud y bienestar,Odontología,es,True
Compra en Spotify: videojuegos,220.94,817.48,Entretenimiento,Videojuegos,es,True
tienda de regalos - flores,101.64,376.07,Regalos,Flores,es,True
farmacia local - equipo para ejercicio,174.93,647.24,Salud y bienestar,Equipamiento deportivo,es,True
Gas Bill,60.48,223.78,Servicios,Gas domiciliario,en,False
hotel local - alojamiento en hotel,209.35,774.62,Viajes,Alojamiento,es,True
productos electrónicos / tienda departamental,585.64,2166.92,Compras,Electrónica,es,True
recibo de agua / empresa eléctrica,82.7,305.97,Servicios,Agua,es,True
equipo para ejercicio / centro médico,467.05,1728.14,Salud y bienestar,Equipamiento deportivo,es,True
leche / Rappi,55.17,204.1,Alimentación,Supermercado,es,True
Purchase at iFood: coffee,93.26,345.04,Alimentación,Cafetería,en,True
Pago de alojamiento en hotel en Booking,274.77,1016.65,Viajes,Alojamiento,es,True
estación de servicio - taxi o aplicativo,86.93,321.63,Transporte,Taxi y aplicativo,es,True
suscripción a revista / Netflix,16.81,62.19,Entretenimiento,Revistas,es,True
servicio de streaming / Spotify,26.85,99.33,Entretenimiento,Streaming,es,True
Avon - champú,51.76,191.48,Cuidado personal,Higiene,es,True
Compra em Avon: xampu,27.14,100.38,Cuidado personal,Higiene,pt,True
Compra en centro médico: consulta médica,481.06,1779.94,Salud y bienestar,Consulta médica,es,True
Compra en empresa eléctrica: recibo de agua,48.6,179.81,Servicios,Agua,es,True
internet y telefonía / empresa de servicios,118.58,438.74,Servicios,Internet y telefonía,es,True
cine local - entradas de cine - SPEI,75.25,278.43,Entretenimiento,Cine,es,True
Pago de equipo para ejercicio en centro médico,261.98,969.34,Salud y bienestar,Equipamiento deportivo,es,True
centro médico - equipamento de treino,934.13,3456.38,Salud y bienestar,Equipamiento deportivo,pt,True
consulta médica / farmacia local,174.05,643.98,Salud y bienestar,Consulta médica,es,True
manutenção residencial / administración residencial,113.76,420.9,Vivienda,Mantenimiento del hogar,pt,True
pago diverso - compra diversa,146.78,543.08,Otros,Otros,es,True
Compra em centro médico: personal trainer,303.74,1123.84,Salud y bienestar,Entrenamiento,pt,True
Compra en arrendador: mantenimiento del hogar,70.73,261.69,Vivienda,Mantenimiento del hogar,es,True
combustible / Uber,47.43,175.46,Transporte,Combustible,es,True
Payment for snacks at Carrefour,65.15,241.04,Alimentación,Supermercado,en,True
Pago de calzado en Mercado Libre,124.93,462.27,Compras,Calzado,es,True
Compra en proveedor de internet: recibo de electricidad,123.63,457.44,Servicios,Electricidad,es,True
arrendador - alquiler de vivienda,230.99,854.66,Vivienda,Alquiler,es,True
estación de servicio - combustible,287.81,1064.9,Transporte,Combustible,es,True
Pago de café en Rappi,30.95,114.51,Alimentación,Cafetería,es,True
Pago de recibo de electricidad en empresa de servicios,175.48,649.28,Servicios,Electricidad,es,True
Pago de internet y telefonía en empresa eléctrica,149.56,553.37,Servicios,Internet y telefonía,es,True
atividade turística / LATAM - PIX,100.21,370.78,Viajes,Turismo,pt,True
Pago de pollo en Soriana,19.05,70.46,Alimentación,Supermercado,es,True
Compra en comercio local: compra de vehículo,1076.93,3984.82,Compras,Vehículo,es,True
Electricity Bill,86.5,320.05,Servicios,Electricidad,en,False
cuidados com a pele / Avon,519.01,1920.38,Cuidado personal,Cuidado de la piel,pt,True
Compra em Mercado Libre: eletrônicos,402.65,1489.84,Compras,Electrónica,pt,True
Compra em Netflix: ingressos de cinema,65.61,242.73,Entretenimiento,Cine,pt,True
equipo para ejercicio / centro médico,613.76,2270.95,Salud y bienestar,Equipamiento deportivo,es,True
Coursera - matrícula acadêmica,229.0,847.29,Educación,Matrícula,pt,True
Compra en empresa de servicios: recibo de electricidad,127.02,469.97,Servicios,Electricidad,es,True
taxi o aplicativo / estación de servicio,121.02,447.74,Transporte,Taxi y aplicativo,es,True
Compra en cine local: cena con amigos,187.07,692.17,Entretenimiento,Eventos,es,True
Compra en florería local: tarjeta de regalo,110.92,410.38,Regalos,Tarjeta de regalo,es,True
Pago de materiales para tejido en cine local,146.48,541.99,Entretenimiento,Lectura y pasatiempos,es,True
empresa eléctrica - recibo de electricidad,123.38,456.5,Servicios,Electricidad,es,True
arrendador - mantenimiento del hogar,67.23,248.73,Vivienda,Mantenimiento del hogar,es,True
Compra en empresa eléctrica: recibo de electricidad,206.87,765.41,Servicios,Electricidad,es,True
Compra en tienda de cuidado personal: champú,210.84,780.13,Cuidado personal,Higiene,es,True
tienda departamental - compra de veículo,2399.07,8876.83,Compras,Vehículo,pt,True
gimnasio local - entrenador personal - Yape,305.15,1129.07,Salud y bienestar,Entrenamiento,es,True
consulta odontológica / farmacia local,307.77,1138.78,Salud y bienestar,Odontología,pt,True
servicio de streaming / cine local,104.2,385.54,Entretenimiento,Streaming,es,True
clase de yoga / gimnasio local,45.54,168.49,Salud y bienestar,Entrenamiento,es,True
florería local - flores,38.02,140.65,Regalos,Flores,es,True
cine local - entradas de cine - Mercado Pago,150.45,556.65,Entretenimiento,Cine,es,True
leite / iFood,48.73,180.27,Alimentación,Supermercado,pt,True
Spotify - assinatura de revista,49.73,183.96,Entretenimiento,Revistas,pt,True
pan / Walmart,41.79,154.6,Alimentación,Supermercado,es,True
tienda de regalos - tarjeta de regalo,140.26,518.94,Regalos,Tarjeta de regalo,es,True
servicio del hogar - alquiler de vivienda,842.0,3115.47,Vivienda,Alquiler,es,True
Booking - atividade turística,146.11,540.61,Viajes,Turismo,pt,True
Compra en administración residencial: alquiler de vivienda,282.22,1044.24,Vivienda,Alquiler,es,True
Pago de café en Rappi,16.65,61.58,Alimentación,Cafetería,es,True
Pago de productos electrónicos en comercio local - Nequi,497.08,1839.24,Compras,Electrónica,es,True
Compra en hotel local: alojamiento en hotel - Nequi,106.02,392.25,Viajes,Alojamiento,es,True
Compra en empresa de servicios: recibo de electricidad,23.39,86.52,Servicios,Electricidad,es,True
Compra en Éxito: snacks - Nequi,16.63,61.52,Alimentación,Supermercado,es,True
tienda de regalos - joyería,334.43,1237.41,Regalos,Joyería,es,True
Pago de medicamentos en gimnasio local,118.32,437.79,Salud y bienestar,Farmacia,es,True
Compra en florería local: joyería,464.61,1719.09,Regalos,Joyería,es,True
Pago de taxi o aplicativo en Cabify,36.79,136.09,Transporte,Taxi y aplicativo,es,True
Pago de boleto aéreo en hotel local,242.94,898.9,Viajes,Vuelo,es,True
Compra en comercio local: compra de vehículo,2282.51,8445.57,Compras,Vehículo,es,True
Compra em estación de servicio: transporte público,88.68,328.11,Transporte,Transporte público,pt,True
conta de energia / empresa eléctrica,175.96,651.05,Servicios,Electricidad,pt,True
Pago de videojuegos en cine local,122.75,454.19,Entretenimiento,Videojuegos,es,True
Udemy - clases de idiomas,121.75,450.46,Educación,Cursos,es,True
Compra en Avon: jabón,14.68,54.3,Cuidado personal,Higiene,es,True
institución educativa - clases de idiomas,173.32,641.29,Educación,Cursos,es,True
Compra en empresa eléctrica: recibo de agua - billetera digital,185.2,685.22,Servicios,Agua,es,True
arrendador - alquiler de vivienda,1292.65,4782.91,Vivienda,Alquiler,es,True
Pago de calzado en Mercado Libre,96.77,358.05,Compras,Calzado,es,True
Carrefour - frutas,27.45,101.53,Alimentación,Supermercado,es,True
Compra en florería local: tarjeta de regalo,349.39,1292.76,Regalos,Tarjeta de regalo,es,True
farmacia local - membresía de gimnasio,89.12,329.72,Salud y bienestar,Gimnasio,es,True
Pagamento de lanches em iFood - PIX,42.43,156.97,Alimentación,Supermercado,pt,True
servicio del hogar - aluguel,590.06,2183.27,Vivienda,Alquiler,pt,True
pago varios / pago diverso,113.46,419.8,Otros,Otros,es,True
entradas de cine / Netflix,17.89,66.18,Entretenimiento,Cine,es,True
tarjeta de regalo / florería local,77.1,285.25,Regalos,Tarjeta de regalo,es,True
Compra em centro médico: consulta odontológica,202.27,748.4,Salud y bienestar,Odontología,pt,True
Compra en tienda de cuidado personal: cuidado de la piel,437.79,1619.86,Cuidado personal,Cuidado de la piel,es,True
champú / tienda de cuidado personal,65.1,240.87,Cuidado personal,Higiene,es,True
mantenimiento del hogar / administración residencial,137.15,507.46,Vivienda,Mantenimiento del hogar,es,True
Jewelry,1499.82,5549.33,Regalos,Joyería,en,False
comida rápida / Oxxo,43.03,159.2,Alimentación,Comida rápida,es,True
Compra en arrendador: alquiler de vivienda,310.49,1148.86,Vivienda,Alquiler,es,True
carne / Carrefour - PIX,20.96,77.52,Alimentación,Supermercado,pt,True
Walmart - café,126.3,467.3,Alimentación,Cafetería,es,True
farmacia local - clase de yoga,131.99,488.34,Salud y bienestar,Entrenamiento,es,True
Pago de compra de vehículo en tienda departamental - Yape,1332.47,4930.3,Compras,Vehículo,es,True
Compra en gimnasio local: medicamentos,353.56,1308.24,Salud y bienestar,Farmacia,es,True
recibo de electricidad / empresa eléctrica,59.98,221.89,Servicios,Electricidad,es,True
Cabify - reparación vehicular,221.24,818.6,Transporte,Mantenimiento vehicular,es,True
Uber - combustible,13.27,49.08,Transporte,Combustible,es,True
Compra en farmacia local: equipo para ejercicio - SPEI,303.99,1124.79,Salud y bienestar,Equipamiento deportivo,es,True
Pago de servicio de streaming en cine local,16.67,61.65,Entretenimiento,Streaming,es,True
Pago de internet y telefonía en proveedor de internet,51.24,189.6,Servicios,Internet y telefonía,es,True
Pago de libros en institución educativa,81.22,300.5,Educación,Libros,es,True
Pago de pan en Rappi,75.13,277.95,Alimentación,Supermercado,es,True
Pago de libros en institución educativa,74.63,276.15,Educación,Libros,es,True
Pago de productos electrónicos en Mercado Libre,439.05,1624.51,Compras,Electrónica,es,True
consulta médica / gimnasio local,61.19,226.4,Salud y bienestar,Consulta médica,es,True
Plaza Vea - carne,95.78,354.39,Alimentación,Supermercado,es,True
Compra en Coto: snacks,12.82,47.4,Alimentación,Supermercado,es,True
Spotify - entradas de cine,34.48,127.58,Entretenimiento,Cine,es,True
Compra em estación de servicio: combustível,153.54,568.09,Transporte,Combustible,pt,True
Compra en tienda de cuidado personal: jabón,77.42,286.43,Cuidado personal,Higiene,es,True
Pago de entradas de cine en Spotify - billetera móvil,61.84,228.79,Entretenimiento,Cine,es,True
Pago de entrenador personal en gimnasio local,240.31,889.16,Salud y bienestar,Entrenamiento,es,True
Compra em Udemy: matrícula acadêmica,114.46,423.49,Educación,Matrícula,pt,True
curso profesional / institución educativa,427.0,1579.94,Educación,Cursos,es,True
Compra em centro médico: consulta médica,223.76,827.93,Salud y bienestar,Consulta médica,pt,True
Pagamento de matrícula acadêmica em Coursera - PIX,70.43,260.57,Educación,Matrícula,pt,True
Compra em hotel local: hospedagem em hotel,84.42,312.34,Viajes,Alojamiento,pt,True
recibo de electricidad / empresa de servicios,327.66,1212.34,Servicios,Electricidad,es,True
Compra en Avon: pasta dental,48.43,179.16,Cuidado personal,Higiene,es,True
Pago de alojamiento en hotel en hotel local,215.51,797.39,Viajes,Alojamiento,es,True
Pago de flores en tienda de regalos,177.99,658.55,Regalos,Flores,es,True
Pago de medicamentos en centro médico,285.91,1057.89,Salud y bienestar,Farmacia,es,True
Pago de recibo de agua en empresa de servicios,153.12,566.53,Servicios,Agua,es,True
Natura - champú,131.65,487.08,Cuidado personal,Higiene,es,True
Compra en Coursera: matrícula académica,89.35,330.58,Educación,Matrícula,es,True
institución educativa - libros,114.7,424.36,Educación,Libros,es,True
taxi o aplicativo / Uber,46.89,173.47,Transporte,Taxi y aplicativo,es,True
Pagamento de brinquedos infantis em florería local,159.02,588.39,Regalos,Juguetes,pt,True
clase de yoga / farmacia local,134.35,497.11,Salud y bienestar,Entrenamiento,es,True
Avon - jabón,57.37,212.26,Cuidado personal,Higiene,es,True
Pago de compra de vehículo en Mercado Libre - SPEI,3210.36,11878.64,Compras,Vehículo,es,True
entradas para concierto / Spotify,173.35,641.42,Entretenimiento,Eventos,es,True
Pago de recibo de agua en empresa eléctrica,97.23,359.74,Servicios,Agua,es,True
Purchase at centro médico: dentist visit,214.8,794.78,Salud y bienestar,Odontología,en,True
tarjeta de regalo / florería local,243.44,900.72,Regalos,Tarjeta de regalo,es,True
Gas Bill,66.73,246.9,Servicios,Gas domiciliario,en,False
Compra em centro médico: mensalidade da academia,48.79,180.51,Salud y bienestar,Gimnasio,pt,True
gimnasio local - membresía de gimnasio,62.68,231.91,Salud y bienestar,Gimnasio,es,True
Compra en tienda de regalos: flores - Nequi,99.92,369.71,Regalos,Flores,es,True
Water Bill,31.42,116.25,Servicios,Agua,en,False
Pago de juegos infantiles en Miniso,162.81,602.4,Regalos,Juguetes,es,True
Compra en tienda de cuidado personal: cuidado de la piel,301.89,1117.0,Cuidado personal,Cuidado de la piel,es,True
café / Rappi - Yape,82.3,304.49,Alimentación,Cafetería,es,True
Pago de entradas de cine en cine local,53.06,196.3,Entretenimiento,Cine,es,True
pago varios / servicio general,92.08,340.67,Otros,Otros,es,True
recibo de agua / proveedor de internet,187.22,692.73,Servicios,Agua,es,True
empresa de servicios - recibo de gas,329.23,1218.16,Servicios,Gas domiciliario,es,True
Carrefour - refeição em restaurante,90.36,334.31,Alimentación,Restaurante,pt,True
Booking - boleto aéreo - Yape,467.89,1731.23,Viajes,Vuelo,es,True
Pago de tarjeta de regalo en Miniso,98.65,364.99,Regalos,Tarjeta de regalo,es,True
Compra en Spotify: materiales de arte,40.2,148.74,Entretenimiento,Lectura y pasatiempos,es,True
car repair / estación de servicio,262.3,970.51,Transporte,Mantenimiento vehicular,en,True
Compra en Plaza Vea: pan,18.69,69.15,Alimentación,Supermercado,es,True
Pago de materiales de arte en Netflix,368.28,1362.65,Entretenimiento,Lectura y pasatiempos,es,True
